path	options	metrics
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27496000.0, 'norm': 1.936044e-06, 'time': 0.00346331}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'asm'}	{'iter': 1, 'mem': 30008200.0, 'norm': 1.677899e-06, 'time': 0.001360889}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'gamg'}	{'iter': 2, 'mem': 31264110.0, 'norm': 4.298671e-06, 'time': 0.01154484}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'jacobi'}	{'iter': 2, 'mem': 27238650.0, 'norm': 1.297137e-06, 'time': 0.000277662}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35012320.0, 'norm': 1.602975e-14, 'time': 0.01222483}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'cg', 'pc_type': 'ilu'}	{'iter': 1, 'mem': 27892410.0, 'norm': 1.677899e-06, 'time': 0.0004882314}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'bicg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27252820.0, 'norm': 1.936044e-06, 'time': 0.005083648}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'bicg', 'pc_type': 'asm'}	{'iter': 1, 'mem': 29942460.0, 'norm': 1.677899e-06, 'time': 0.001490048}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'bicg', 'pc_type': 'gamg'}	{'iter': 2, 'mem': 31478210.0, 'norm': 4.298671e-06, 'time': 0.01238764}
combustion/PDRFoam/flamePropagationWithObstacles/p/0	{'ksp_type': 'bicg', 'pc_type': 'jacobi'}	{'iter': 2, 'mem': 27778580.0, 'norm': 1.297137e-06, 'time': 0.0002832538}
